"","LP","ID","Data.rozpoczecia","Data.zakonczenia","Calkowity.czas.wypelniania","Rzeczywisty.czas.wypelniania","z1.wiedza.dziedzinowa","z1.zdolnosci.analityczne","z1.skutecznosc","z1.swiadomosc.roli","z1.otwartosc.feedback","z1.rozwoj.wlasny","z2.sposob.pracy","z2.licza.sie","z2.podazaja","z2.potrafi.rozmawiac","z2.dostrzega.potrzeby","z2.dostrzega.potencjal","z2.rozwoj.zawodowy","z2.rozwoj.osobisty","z2.wartosciowy.feedback","z2.dostepny","z2.bezpieczenstwo","z2.nadmierna.presja","z2.trudne.sytuacje","z2.godna.zaufania","z3.zeby.wspolpraca","z3.dobra.atmosfera","z3.mocne.strony","z3.jasne.cele","z3.organizuje.prace","z3.nawyki","z3.chetnie.angazuja","z3.zaprezentowac","z3.w.otoczeniu","z3.komunikuje.zmiany","z3.glowne.wartosci","z3.przeklada.misje","z3.att.check","r1.wiedza.dziedzinowa","r1.zdolnosci.analityczne","r1.skutecznosc","r1.swiadomosc.roli","r1.otwartosc.feedback","r1.rozwoj.wlasny","r2.sposob.pracy","r2.licza.sie","r2.podazaja","r2.potrafi.rozmawiac","r2.dostrzega.potrzeby","r2.dostrzega.potencjal","r2.rozwoj.zawodowy","r2.rozwoj.osobisty","r2.wartosciowy.feedback","r2.dostepny","r2.bezpieczenstwo","r2.nadmierna.presja","r2.trudne.sytuacje","r2.godna.zaufania","r3.zeby.wspolpraca","r3.dobra.atmosfera","r3.mocne.strony","r3.jasne.cele","r3.organizuje.prace","r3.nawyki","r3.chetnie.angazuja","r3.zaprezentowac","r3.w.otoczeniu","r3.komunikuje.zmiany","r3.glowne.wartosci","r3.przeklada.misje","r3.att.check","inne.open","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","wiek","plec","narodowosc.PL","narodowosc.GER","narodowosc.UA","narodowosc.BY","narodowosc.UK","narodowosc.USA","narodowosc.ESP","narodowosc.FR","narodowosc.IT","narodowosc.inna","narodowosc.jaka","staz","kraj.wspolpraca","kraj.inny","stanowisko","stanowisko.inne","poziomy.ponizej","ile.w.zespole","ile.w.zespole.inne","dla.ilu.przeloz","dla.ilu.przeloz.inne","dla.ilu.lider","tryb.pracy","tryb.hybryd","tryb.hybryd.inne","ilu.liderow","final.open","urzadzenie","parametr.zewn","jezyk.wypeln","tagi","strona.odsylajaca","czas.wyp.s1","czas.wyp.s2","czas.wyp.s3","czas.wyp.s4","czas.wyp.s5","czas.wyp.s6","czas.wyp.s7","czas.wyp.s8","czas.wyp.s9","czas.wyp.s10","czas.wyp.s11","czas.wyp.s12"
"1",1,471268077,"2024-09-15 19:49:51","2024-09-15 19:59:42","00:09:51","00:09:51","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,NA,2,1,NA,NA,NA,4,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","Raz w miesiącu lub rzadziej","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu",32,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","USA","","Team leader, kierownik","",1,"6-10","","6-10",NA,"6-10","Hybrydowo","Trzy dni","","","","Mobile",NA,"pl",NA,"","00:00:36","00:01:19","00:01:51","00:01:48","00:00:24","00:00:24","00:00:16","00:01:35","00:00:59","00:00:13","00:00:04","00:00:22"
"2",2,471510018,"2024-09-16 14:24:41","2024-09-16 14:57:37","00:32:56","00:32:56","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,3,1,2,NA,NA,NA,5,NA,NA,NA,2,1,4,7,6,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,4,2,NA,1,NA,"","Raz w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w miesiącu","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w tygodniu",32,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Inny - jaki?","Holandia","Pracownik, członek zespołu","",1,"powyżej 30 osób (wpisz ile?)","40","",NA,"","Hybrydowo","Inne rozwiązanie - jakie?","5 dni w miesiacu","","Przy wpisaniu 0 w ilości poziomów pojawił się błąd walidacji i musiałem wpisać 1.","Mobile",NA,"pl",NA,"","00:21:03","00:01:00","00:00:58","00:01:18","00:00:20","00:01:00","00:00:36","00:04:18","00:01:29","","00:00:07","00:00:47"
"3",3,471511194,"2024-09-16 14:24:51","2024-09-16 15:04:50","00:39:59","00:39:59","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,3,2,1,NA,NA,NA,9,4,1,2,NA,8,7,5,3,NA,NA,6,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,"Czy lider powinen być szczery  w jazdej sytuacji? 
Czy lider powinien być zawsze asertywny?","Raz w tygodniu","Raz w tygodniu","Zawsze","Raz w tygodniu","Raz w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu",35,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Polska","","Team leader, kierownik","",1,"11-20","","6-10",NA,"6-10","Hybrydowo","Trzy dni","","","Nie mam uwag","Mobile",NA,"pl",NA,"","00:31:18","00:01:28","00:00:58","00:01:01","00:00:34","00:00:57","00:00:12","00:02:04","00:00:52","00:00:12","00:00:05","00:00:18"
"4",4,471513414,"2024-09-16 14:24:48","2024-09-16 15:18:03","00:53:15","00:53:15","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,6,NA,NA,NA,NA,NA,5,1,NA,NA,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,"","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu",43,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"powyżej 20 lat","Polska","","Team leader, kierownik","",2,"2-5","","1-5",NA,"1-5","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","00:45:57","00:01:20","00:01:09","00:01:24","00:00:29","00:00:33","00:00:18","00:00:49","00:00:49","00:00:14","00:00:06","00:00:07"
"5",5,471515373,"2024-09-16 14:24:52","2024-09-16 15:29:53","01:05:01","01:05:01","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,3,1,2,NA,NA,1,2,3,NA,7,9,8,NA,NA,5,NA,6,4,3,NA,NA,1,NA,NA,4,NA,5,2,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Zawsze","Zawsze","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",35,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Team leader, kierownik","",1,"2-5","","1-5",NA,"1-5","Hybrydowo","Inne rozwiązanie - jakie?","Pracuje całkowicie z biura","","","Mobile",NA,"pl",NA,"","00:49:28","00:01:26","00:01:21","00:02:29","00:00:55","00:04:40","00:00:47","00:01:42","00:01:18","00:00:11","00:00:08","00:00:36"
"6",6,471516144,"2024-09-16 14:24:41","2024-09-16 15:34:25","01:09:44","01:09:44","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w tygodniu",29,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","USA","","Inny rodzaj stanowiska (jaki?)","Lider techniczny",2,"6-10","","1-5",NA,"1-5","Hybrydowo","Trzy dni","","","","Mobile",NA,"pl",NA,"","01:00:34","00:01:19","00:01:16","00:02:05","00:00:24","00:00:14","00:00:09","00:01:36","00:01:11","00:00:14","00:00:21","00:00:21"
"7",7,471521001,"2024-09-16 15:22:03","2024-09-16 15:54:44","00:32:41","00:32:41","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,2,1,3,NA,NA,NA,4,NA,NA,1,NA,3,NA,NA,NA,NA,5,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Nigdy","Kilka razy w tygodniu","Kilka razy w miesiącu",31,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","USA","","Pracownik, członek zespołu","",1,"2-5","","",NA,"","Biuro (onsite)","","","","","Mobile",NA,"pl",NA,"","00:09:34","00:01:42","00:06:53","00:04:05","00:01:12","00:01:30","00:00:16","00:06:32","00:00:48","","00:00:09",""
"8",8,471826386,"2024-09-17 14:50:58","2024-09-17 14:58:10","00:07:12","00:07:12","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,3,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w miesiącu","Raz w tygodniu","Raz w miesiącu lub rzadziej","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu",28,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"3-5","USA","","Team leader, kierownik","",1,"2-5","","1-5",NA,"1-5","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"","00:00:29","00:01:03","00:00:58","00:01:20","00:00:38","00:00:10","00:00:14","00:01:18","00:00:40","00:00:10","00:00:05","00:00:07"
"9",9,471826611,"2024-09-17 14:51:10","2024-09-17 14:59:21","00:08:11","00:08:11","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","To nie jest dla mnie ważne",5,NA,1,3,4,2,NA,2,1,10,NA,4,6,5,NA,NA,9,8,3,7,NA,1,NA,2,NA,NA,3,NA,NA,4,NA,NA,NA,"","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu",26,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"3-5","USA","","Team leader, kierownik","",3,"2-5","","1-5",NA,"1-5","Hybrydowo","Trzy dni","","","","Mobile",NA,"pl",NA,"","00:00:04","00:00:29","00:00:42","00:03:41","00:00:37","00:00:46","00:00:12","00:00:40","00:00:31","00:00:10","00:00:10","00:00:09"
"10",10,471826908,"2024-09-17 14:51:21","2024-09-17 15:00:45","00:09:24","00:09:24","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,2,3,1,NA,10,NA,NA,6,7,9,8,11,3,1,4,NA,5,2,3,NA,5,1,NA,2,NA,NA,NA,7,4,6,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w miesiącu",39,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Pracownik, członek zespołu","",1,"6-10","","",NA,"","Biuro (onsite)","","","","","Mobile",NA,"pl",NA,"","00:00:07","00:00:54","00:01:07","00:01:39","00:00:32","00:01:37","00:01:08","00:00:56","00:01:17","","00:00:07",""
